time,signal ch.38
1.109197679,-0.00030687
1.10952536,-0.00030732
1.10985304,-0.00030745
1.11018072,-0.00031012
1.1105084,-0.0003138
1.110836081,-0.00031875
1.111163761,-0.00032375
1.111491441,-0.00032832
1.111819121,-0.00033167
1.112146802,-0.00033267
1.112474482,-0.00033392
1.112802162,-0.00033581
1.113129842,-0.00034041
1.113457523,-0.00034798
1.113785203,-0.00035676
1.114112883,-0.00036471
1.114440563,-0.00036696
1.114768244,-0.00036834
1.115095924,-0.00037147
1.115423604,-0.00037228
1.115751285,-0.0003723
1.116078965,-0.00037448
1.116406645,-0.00037703
1.116734325,-0.00037871
1.117062006,-0.00038063
1.117389686,-0.000382
1.117717366,-0.00038116
1.118045046,-0.00037859
1.118372727,-0.0003757
1.118700407,-0.0003765
1.119028087,-0.00037854
1.119355767,-0.0003791
1.119683448,-0.00037883
1.120011128,-0.00037647
1.120338808,-0.00036944
1.120666488,-0.00035379
1.120994169,-0.00033581
1.121321849,-0.00032157
1.121649529,-0.00031178
1.121977209,-0.00030415
1.12230489,-0.00029892
1.12263257,-0.00029619
1.12296025,-0.0002941
1.12328793,-0.00029343
1.123615611,-0.00029504
1.123943291,-0.00029838
1.124270971,-0.00030759
1.124598652,-0.00032006
1.124926332,-0.00033145
1.125254012,-0.00033946
1.125581692,-0.00034477
1.125909373,-0.00034912
1.126237053,-0.00035073
1.126564733,-0.00035169
1.126892413,-0.00034937
1.127220094,-0.00034608
1.127547774,-0.00034615
1.127875454,-0.00034781
1.128203134,-0.00034763
1.128530815,-0.00034599
1.128858495,-0.00034653
1.129186175,-0.00034991
1.129513855,-0.00035423
1.129841536,-0.00035686
1.130169216,-0.00035871
1.130496896,-0.00036092
1.130824576,-0.00036372
1.131152257,-0.00036508
1.131479937,-0.00036624
1.131807617,-0.00036788
1.132135297,-0.0003671
1.132462978,-0.0003656
1.132790658,-0.00036639
1.133118338,-0.00036928
1.133446019,-0.00037356
1.133773699,-0.00037773
1.134101379,-0.00038085
1.134429059,-0.0003835
1.13475674,-0.00038708
1.13508442,-0.00039089
1.1354121,-0.00039346
1.13573978,-0.00039449
1.136067461,-0.00039523
1.136395141,-0.00039519
1.136722821,-0.00039425
1.137050501,-0.00039211
1.137378182,-0.00038948
1.137705862,-0.00038566
1.138033542,-0.00038378
1.138361222,-0.00038376
1.138688903,-0.00038152
1.139016583,-0.00038088
1.139344263,-0.00038056
1.139671943,-0.00038071
1.139999624,-0.000382
1.140327304,-0.00038405
1.140654984,-0.00038697
1.140982665,-0.00038977
1.141310345,-0.00039047
1.141638025,-0.00038956
1.141965705,-0.00038867
1.142293386,-0.00038796
1.142621066,-0.00038603
1.142948746,-0.00038458
1.143276426,-0.00038505
1.143604107,-0.00038586
1.143931787,-0.00038667
1.144259467,-0.00038732
1.144587147,-0.00038726
1.144914828,-0.00038563
1.145242508,-0.00038573
1.145570188,-0.00038651
1.145897868,-0.00038753
1.146225549,-0.00038803
1.146553229,-0.00038942
1.146880909,-0.00039011
1.147208589,-0.00039172
1.14753627,-0.00039371
1.14786395,-0.00039462
1.14819163,-0.00039428
1.14851931,-0.00039261
1.148846991,-0.00039447
1.149174671,-0.00039881
1.149502351,-0.00040009
1.149830032,-0.0004009
1.150157712,-0.00040384
1.150485392,-0.00040628
1.150813072,-0.00040795
1.151140753,-0.00040874
1.151468433,-0.0004102
1.151796113,-0.00041064
1.152123793,-0.00041227
1.152451474,-0.00041269
1.152779154,-0.00041271
1.153106834,-0.00041274
1.153434514,-0.00041136
1.153762195,-0.00040945
1.154089875,-0.00040733
1.154417555,-0.0004034
1.154745235,-0.00040097
1.155072916,-0.00039959
1.155400596,-0.00040008
1.155728276,-0.00040006
1.156055956,-0.00040127
1.156383637,-0.00040419
1.156711317,-0.00039881
1.157038997,-0.00038609
1.157366677,-0.00037174
1.157694358,-0.00036067
1.158022038,-0.00035381
1.158349718,-0.00034896
1.158677399,-0.00034736
1.159005079,-0.00034671
1.159332759,-0.00034687
1.159660439,-0.00034691
1.15998812,-0.00035056
1.1603158,-0.00036027
1.16064348,-0.00037216
1.16097116,-0.0003837
1.161298841,-0.00039356
1.161626521,-0.00040005
1.161954201,-0.0004039
1.162281881,-0.00040782
1.162609562,-0.00041255
1.162937242,-0.0004168
1.163264922,-0.00041895
1.163592602,-0.00042092
1.163920283,-0.00042399
1.164247963,-0.00042691
1.164575643,-0.00042993
1.164903323,-0.00043154
1.165231004,-0.0004322
1.165558684,-0.00043403
1.165886364,-0.00043591
1.166214045,-0.00043616
1.166541725,-0.00043557
1.166869405,-0.00043748
1.167197085,-0.00044218
1.167524766,-0.00044666
1.167852446,-0.00045139
1.168180126,-0.00045695
1.168507806,-0.00046103
1.168835487,-0.00046449
1.169163167,-0.00046561
1.169490847,-0.00046706
1.169818527,-0.00046734
1.170146208,-0.00047127
1.170473888,-0.00047365
1.170801568,-0.00047376
1.171129248,-0.00047396
1.171456929,-0.00047554
1.171784609,-0.00047531
1.172112289,-0.00047348
1.172439969,-0.00047096
1.17276765,-0.00046919
1.17309533,-0.00046849
1.17342301,-0.00046877
1.17375069,-0.00047267
1.174078371,-0.00047625
1.174406051,-0.00047909
1.174733731,-0.00048242
1.175061412,-0.00048381
1.175389092,-0.00047971
1.175716772,-0.0004776
1.176044452,-0.00047695
1.176372133,-0.00047703
1.176699813,-0.00048119
1.177027493,-0.00048684
1.177355173,-0.00049256
1.177682854,-0.00049835
1.178010534,-0.00050353
1.178338214,-0.00050661
1.178665894,-0.00050858
1.178993575,-0.00051036
1.179321255,-0.00051222
1.179648935,-0.00051227
1.179976615,-0.0005132
1.180304296,-0.0005161
1.180631976,-0.00051846
1.180959656,-0.00052036
1.181287336,-0.00052212
1.181615017,-0.00052236
1.181942697,-0.00052443
1.182270377,-0.00052533
1.182598057,-0.00052417
1.182925738,-0.00052025
1.183253418,-0.00051274
1.183581098,-0.00050365
1.183908779,-0.00049555
1.184236459,-0.00049123
1.184564139,-0.00049071
1.184891819,-0.00049015
1.1852195,-0.00049144
1.18554718,-0.00049469
1.18587486,-0.0004971
1.18620254,-0.00049929
1.186530221,-0.00050055
1.186857901,-0.00049946
1.187185581,-0.00049878
1.187513261,-0.00050108
1.187840942,-0.00050452
1.188168622,-0.00050579
1.188496302,-0.00050456
1.188823982,-0.00049978
1.189151663,-0.00049586
1.189479343,-0.00049276
1.189807023,-0.00048895
1.190134703,-0.00048844
1.190462384,-0.00049126
1.190790064,-0.00049551
1.191117744,-0.00049807
1.191445425,-0.00049942
1.191773105,-0.00049973
1.192100785,-0.00049537
1.192428465,-0.00048428
1.192756146,-0.00046895
1.193083826,-0.00045278
1.193411506,-0.00044171
1.193739186,-0.00043606
1.194066867,-0.00043468
1.194394547,-0.00043693
1.194722227,-0.00043981
1.195049907,-0.00044655
1.195377588,-0.00045709
1.195705268,-0.00046704
1.196032948,-0.00047275
1.196360628,-0.00047322
1.196688309,-0.00047279
1.197015989,-0.00047377
1.197343669,-0.00047815
1.197671349,-0.00048054
1.19799903,-0.00048205
1.19832671,-0.0004841
1.19865439,-0.00048488
1.19898207,-0.00048616
1.199309751,-0.00048797
1.199637431,-0.00048767
1.199965111,-0.0004872
1.200292792,-0.00048674
1.200620472,-0.00048783
1.200948152,-0.00049215
1.201275832,-0.00049691
1.201603513,-0.00050111
1.201931193,-0.00050486
1.202258873,-0.00050766
1.202586553,-0.00050782
1.202914234,-0.00050331
1.203241914,-0.00049869
1.203569594,-0.0004947
1.203897274,-0.00049179
1.204224955,-0.00049113
1.204552635,-0.00049329
1.204880315,-0.00049895
1.205207995,-0.00050549
1.205535676,-0.0005116
1.205863356,-0.00051521
1.206191036,-0.00051763
1.206518716,-0.00051954
1.206846397,-0.0005193
1.207174077,-0.00051491
1.207501757,-0.00051295
1.207829437,-0.00051442
1.208157118,-0.00051502
1.208484798,-0.00051488
1.208812478,-0.00051698
1.209140159,-0.00051991
1.209467839,-0.00052466
1.209795519,-0.00052883
1.210123199,-0.0005343
1.21045088,-0.00053794
1.21077856,-0.00053863
1.21110624,-0.00053873
1.21143392,-0.00053827
1.211761601,-0.00053714
1.212089281,-0.00053698
1.212416961,-0.00053918
1.212744641,-0.0005405
1.213072322,-0.00053735
1.213400002,-0.00053359
1.213727682,-0.00052998
1.214055362,-0.00053047
1.214383043,-0.00053394
1.214710723,-0.00053637
1.215038403,-0.00053912
1.215366083,-0.00054086
1.215693764,-0.00054081
1.216021444,-0.00054031
1.216349124,-0.00054029
1.216676805,-0.00054069
1.217004485,-0.00054022
1.217332165,-0.00053886
1.217659845,-0.0005366
1.217987526,-0.00053708
1.218315206,-0.00054015
1.218642886,-0.00054542
1.218970566,-0.0005502
1.219298247,-0.00055396
1.219625927,-0.00055693
1.219953607,-0.00056043
1.220281287,-0.00056392
1.220608968,-0.00056726
